"","group","smp_type"
"SJST033983_D1","kinase-fused_tumor","FFPE"
"SJST032767_D1","kinase-fused_tumor","FFPE"
"SJST032767_D2","kinase-fused_tumor","Fresh/frozen"
"SJST034397_D1","kinase-fused_tumor","FFPE"
"SJST031920_D1","kinase-fused_tumor","FFPE"
"SJST033491_D1","kinase-fused_tumor","FFPE"
"SJST033389_D1","kinase-fused_tumor","FFPE"
"SJST031690_D1","kinase-fused_tumor","FFPE"
"SJST031362_D1","kinase-fused_tumor","FFPE"
"SJST030375_R2","kinase-fused_tumor","Fresh/frozen"
"SJST031792_D1","kinase-fused_tumor","FFPE"
"SJST033791_D1","kinase-fused_tumor","FFPE"
"SJST033835_D1","kinase-fused_tumor","FFPE"
"SJST033308_D1","kinase-fused_tumor","FFPE"
"SJST034036_D1","kinase-fused_tumor","FFPE"
"SJST034815_D1","kinase-fused_tumor","FFPE"
"SJST032952_D2","ETV6-NTRK3_fused_tumor","Fresh/frozen"
"SJST032952_D4","ETV6-NTRK3_fused_tumor","Fresh/frozen"
"SJST033312_D1","ETV6-NTRK3_fused_tumor","Fresh/frozen"
"SJST032838_D1","ETV6-NTRK3_fused_tumor","FFPE"
"SJBT032721_D1","ETV6-NTRK3_fused_tumor","FFPE"
"SJIFS031085_D1","ETV6-NTRK3_fused_tumor","FFPE"
"SJST030567_D1","ETV6-NTRK3_fused_tumor","FFPE"
"SJST030433_D1","ETV6-NTRK3_fused_tumor","FFPE"
"SJST031362_D1.1","kinase-fused_tumor","FFPE"
